date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:13:56	31230/31230	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-79fe%22	https://bchiang7.github.io/v2/img/portfolio/fontipsums/fontipsums-mobile.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/fontipsums/fontipsums-mobile.jpg	(from https://bchiang7.github.io/v2/)
01:13:56	58650/58650	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-e51a%22	https://bchiang7.github.io/v2/img/portfolio/onecard/onecard.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/onecard/onecard.jpg	(from https://bchiang7.github.io/v2/)
01:13:56	21819/21819	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-553b%22	https://bchiang7.github.io/v2/img/portfolio/onecard/onecard-tablet.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/onecard/onecard-tablet.jpg	(from https://bchiang7.github.io/v2/)
01:13:57	23046/23046	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-5a06%22	https://bchiang7.github.io/v2/img/portfolio/onecard/onecard-mobile.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/onecard/onecard-mobile.jpg	(from https://bchiang7.github.io/v2/)
01:13:57	86644/86644	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-15274%22	https://bchiang7.github.io/v2/img/portfolio/humankinda/humankinda.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/humankinda/humankinda.jpg	(from https://bchiang7.github.io/v2/)
01:13:57	47157/47157	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-b835%22	https://bchiang7.github.io/v2/img/portfolio/humankinda/humankinda-tablet.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/humankinda/humankinda-tablet.jpg	(from https://bchiang7.github.io/v2/)
01:13:57	28580/28580	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-6fa4%22	https://bchiang7.github.io/v2/img/portfolio/humankinda/humankinda-mobile.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/portfolio/humankinda/humankinda-mobile.jpg	(from https://bchiang7.github.io/v2/)
01:13:57	829/829	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e237c75-33d%22	https://bchiang7.github.io/v2/img/icons/github.svg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/icons/github.svg	(from https://bchiang7.github.io/v2/)
01:13:58	396/396	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e237c75-18c%22	https://bchiang7.github.io/v2/img/icons/email.svg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/icons/email.svg	(from https://bchiang7.github.io/v2/)
01:13:58	602/602	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e237c75-25a%22	https://bchiang7.github.io/v2/img/icons/twitter.svg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/icons/twitter.svg	(from https://bchiang7.github.io/v2/)
01:13:58	1706/1706	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e237c75-6aa%22	https://bchiang7.github.io/v2/img/icons/instagram.svg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/icons/instagram.svg	(from https://bchiang7.github.io/v2/)
01:13:59	763/763	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e237c75-2fb%22	https://bchiang7.github.io/v2/img/icons/codepen.svg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/icons/codepen.svg	(from https://bchiang7.github.io/v2/)
01:13:59	518/518	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e237c75-206%22	https://bchiang7.github.io/v2/img/icons/linkedin.svg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/icons/linkedin.svg	(from https://bchiang7.github.io/v2/)
01:13:59	84355/84355	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-14983%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	C:/My%20Web%20Sites/my_portfolio/cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from https://bchiang7.github.io/v2/)
01:14:00	12615/12615	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fd5-3147%22	https://cdnjs.cloudflare.com/ajax/libs/skrollr/0.6.30/skrollr.min.js	C:/My%20Web%20Sites/my_portfolio/cdnjs.cloudflare.com/ajax/libs/skrollr/0.6.30/skrollr.min.js	(from https://bchiang7.github.io/v2/)
01:14:00	2271/2271	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e237c75-8df%22	https://bchiang7.github.io/v2/js/main.js	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/js/main.js	(from https://bchiang7.github.io/v2/)
01:14:01	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/my_portfolio/www.google-analytics.com/analytics.js	(from https://bchiang7.github.io/v2/)
01:14:01	63474/63474	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e237c75-f7f2%22	https://bchiang7.github.io/v2/fonts/chronicle-display/ChronicleDisplay-Bold.eot	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/fonts/chronicle-display/ChronicleDisplay-Bold.eot	(from https://bchiang7.github.io/v2/css/main.css)
